disease,text,risk_level
conjunctivitis due to virus,Living with this eye irritation and fever is exhausting!,Medium
colorectal cancer,There's been some strange drainage in my throat that I can't ignore.,High
poisoning due to anticonvulsants,I didn't realize I'd have trouble moving after taking these anticonvulsants.,Emergency
retinopathy due to high blood pressure,"My vision seems dimmer, and it's making daily tasks difficult for me.",High
esophageal cancer,These sharp pains in my stomach are making it hard to function.,High
granuloma inguinale,"The painless ulcers have grown larger, and the tissue looks raw and red. I really need help.",Medium
poisoning due to antipsychotics,"The involuntary muscle movements are frightening, and I feel very unwell. I really need help.",Emergency
lichen planus,My lichen planus makes it hard to speak without feeling discomfort.,Medium
hyperlipidemia,I'm scared that my hyperlipidemia and weight gain will lead to even more health issues.,Medium
poisoning due to opioids,I keep experiencing moments where I just can’t get my words out; it’s frustrating.,Emergency
esophageal cancer,I’m terrified that my decreased appetite means something bad is happening.,High
gonorrhea,I just want this embarrassing discomfort to be over with!,Medium
anemia due to malignancy,I've been experiencing dizziness and weakness that won't go away no matter how much I rest; it's really concerning.,Medium
eye alignment disorder,"The pain in my eye has become unbearable, and I need some answers.",Medium
aspergillosis,"Lately, i can feel something is wrong in my lungs; the pain and breathlessness are getting worse.",High
contact dermatitis,"I can't tell if it's an allergic reaction or something else, but it’s miserable.",Medium
poisoning due to antipsychotics,"I can't control my movements properly, and my temperature is rising dangerously; it's really concerning.",Emergency
seasonal allergies (hay fever),The pollen is so bad; I'm feeling miserable with nasal congestion.,Low
esophageal varices,"The dizziness is frustrating, especially since I’m trying to manage my varices.",Medium
burn,The constant wrist pain reminds me of the burn I got a week ago.,Low
acne,My face has been such a mess with these painful pimples and swelling.,Low
poisoning due to analgesics,I never expected the analgesics would make me feel so down.,Emergency
congenital heart defect,"I've experienced persistent sharp chest pain, and I fear it's a sign of something much worse.",High
common cold,All these symptoms combined are really making it hard to focus on anything.,Low
cranial nerve palsy,I often feel self-conscious because of my facial symptoms in public settings.,High
common cold,I can't believe how stuffy my nose is; it feels like it's completely blocked.,Low
vitreous hemorrhage,I’m experiencing these weird clouds in my vision; it’s really annoying.,Emergency
burn,"The burn on my knee feels tender, and I can’t fully bend it.",Low
arrhythmia,"I stood up quickly and felt dizzy, as if I might pass out.",Medium
acne,The acne on my scalp is not only embarrassing but also really itchy.,Low
diabetic ketoacidosis,"I thought my chest pain was just stress, but now I’m scared.",Emergency
liver cancer,I've been feeling bloated and uncomfortable; something isn't right.,High
testicular cancer,I feel like my health anxiety has tripled just because of this lump.,High
hypothermia,"It was like I was in a fog, unable to think clearly after that long exposure to cold.",High
seasonal allergies (hay fever),Why does my ear feel clogged? Allergies are making it unbearable!,Low
abscess of the lung,"I've been dealing with these lung issues, and the feeling of breathlessness is overwhelming.",High
diverticulosis,Why am I experiencing diarrhea so often? It’s exhausting.,Medium
poisoning due to anticonvulsants,My new medication leaves me feeling depressed when I wake up.,Emergency
aspergillosis,The persistent cough and chest pain are affecting my sleep and daily activities. I really need help.,High
empyema,Every breath I take feels like a struggle; the pain in my chest is intense.,Medium
dumping syndrome,I can't shake off this constant feeling of nausea after eating.,Medium
subconjunctival hemorrhage,"I’ve never experienced facial pain like this, especially with my eye issues.",Emergency
burn,I’ve been experiencing skin irritation on my arm after accidentally touching a hot surface.,Low
poisoning due to ethylene glycol,I never thought I'd feel this depressed after a simple mistake with antifreeze.,Emergency
seasonal allergies (hay fever),I wish I could breathe easily; this coryza is exhausting me.,Low
hemiplegia,I can’t stop my arm from shaking; it feels completely out of my control.,Emergency
deep vein thrombosis (dvt),"I feel like my leg is more swollen than usual, and it worries me.",High
aspergillosis,"Lately, my chest feels tight constantly, and I'm running a low-grade fever that won't quit.",High
cardiac arrest,"My chest pain came and went, but the fear never left.",Emergency
subarachnoid hemorrhage,"Every time I stand up, the dizziness makes me feel like I might just collapse.",Emergency
kidney disease due to longstanding hypertension,The persistent nausea and loss of appetite are new symptoms that worry me. I really need help.,High
insect bite,I didn't think an insect bite could lead to this much peripheral edema.,Low
primary kidney disease,"I often feel tired and sluggish, and I don’t know what’s wrong.",High
acne,The acne on my scalp is not only embarrassing but also really itchy.,Low
acute pancreatitis,I felt a burning sensation in my abdomen that just wouldn’t go away.,High
acne,I can’t believe how dry my skin is while I’m battling these pimples.,Low
hypothermia,I’ve never felt so emotionally low as I did during that freezing night outside.,High
seasonal allergies (hay fever),I can't enjoy the outdoors because my eyes are watering non-stop.,Low
congenital heart defect,I'm frustrated that my arm swelling is ignored by doctors who should know better.,High
heart contusion,I’m struggling with motivation ever since my heart contusion.,High
meningitis,I had a fever and neck stiffness that really scared me.,Emergency
acne,I’m overwhelmed by how swollen my face gets during my menstrual cycle.,Low
fetal alcohol syndrome,"My emotional reactions can feel excessive, leaving me drained.",Medium
intracerebral hemorrhage,I noticed a strange blurred vision that makes it hard to see.,Emergency
poisoning due to antipsychotics,"The muscle stiffness is severe, and I feel extremely confused and agitated; it's really concerning.",Emergency
acne,Having moles that get irritated by acne is driving me insane.,Low
hypertrophic obstructive cardiomyopathy (hocm),"Just when I think I'm okay, sharp chest pain takes over again.",High
burn,"My burn seems to be healing slowly, and I have a slight headache.",Low
macular degeneration,"My vision feels like it’s getting worse, and I'm scared of going blind.",Medium
uterine cancer,Why isn’t my doctor giving more attention to my pelvic pain?,High
conversion disorder,"Lately, my body feels paralyzed at times, but tests show nothing physically wrong.",Medium
pulmonary embolism,The chest tightness has made it hard for me to get any rest.,Emergency
high blood pressure,"My blood pressure readings have been dangerously high, and I'm having severe headaches. I really need help.",High
ovarian cancer,I’m really concerned about the bloating; it feels like something isn’t right.,High
allergy to animals,I'm constantly dealing with a sore throat whenever I'm around pets.,High
acne,I can’t believe how dry my skin is while I’m battling these pimples.,Low
stroke,"My left arm went completely weak, and I couldn't lift it at all.",Emergency
zenker diverticulum,"Lately, the gurgling sounds in my throat are embarrassing, and I choke frequently.",Medium
common cold,The constant coughing is making my throat even sorer; it's so frustrating.,Low
vitreous hemorrhage,"Seeing floaters is distracting, and I’m not sure if it’s normal.",Emergency
seasonal allergies (hay fever),"My throat is raw from coughing, and I feel so frustrated.",Low
stroke,I had this intense headache that just wouldn’t go away.,Emergency
systemic lupus erythematosis (sle),"I feel like I'm in a fog, and the ache all over just won't go away.",Medium
vertebrobasilar insufficiency,"My balance is completely off, and I feel like I might fall at any moment.",High
syringomyelia,The stiffness in my legs is making walking increasingly difficult. I really need help.,Medium
anemia due to chronic kidney disease,"I'm constantly fatigued, and it's affecting my daily life.",High
heart contusion,I wish my emotional state would improve after my heart contusion.,High
nonalcoholic liver disease (nash),"Nausea has made eating challenging, and I'm losing my energy.",High
seasonal allergies (hay fever),My allergies are making me feel so fatigued; I can barely get out.,Low
seasonal allergies (hay fever),The pollen is so bad; I'm feeling miserable with nasal congestion.,Low
neuropathy due to drugs,Why does this cough keep bothering me after I take my meds?,Medium
seasonal allergies (hay fever),These allergy symptoms are affecting my work and daily life.,Low
seasonal allergies (hay fever),Every morning I wake up with a horrible headache from my allergies.,Low
poisoning due to gas,I felt a wave of dizziness and a sudden headache after the gas incident.,Emergency
lung cancer,"I was a smoker for years, and now I fear the worst.",High
malaria,"Lately, the cycles of fever, chills, and sweating are exhausting me completely.",High
acne,"Every month, my long menstrual periods come with new skin rashes.",Low
seasonal allergies (hay fever),The constant cough from my allergies is driving me crazy.,Low
insect bite,"After getting bitten, my lip swelled up like a balloon; it's so embarrassing.",Low
peripheral arterial embolism,I’ve been trying to manage this annoying leg swelling on my own.,Medium
epidural hemorrhage,I didn’t expect to deal with dizziness and mood changes like this.,Emergency
choledocholithiasis,Why do I have such a strong side pain along with all these symptoms?,Medium
bladder cancer,I can't shake off this feeling that something is off with my bladder.,High
burn,The headache I got from the burn on my hand just won’t go away.,Low
injury to the leg,"My toes have started swelling, and I’m worried it might get worse.",Medium
poisoning due to antipsychotics,I've taken too much medication and my muscles are becoming extremely rigid. I really need help.,Emergency
