disease,text,risk_level
myoclonus,"The spasms affect my whole body sometimes, and they're getting harder to manage.",High
parasitic disease,The skin rash on my arm doesn’t seem to respond to any of the creams.,Low
conjunctivitis,I just want my eyes to stop being so irritated and watery.,Medium
yeast infection,I didn’t expect the vaginal pain to linger for so long with this infection.,Medium
callus,This foot pain from my callus is making it hard to walk comfortably.,Medium
open wound of the chest,Why isn’t anyone taking my extreme chest pain seriously? It feels like a nightmare I can't escape.,High
optic neuritis,The headaches are relentless; I didn’t realize optic neuritis could affect me like this.,Low
frostbite,Every step I take sends a jolt of pain through my toes Is this serious?,High
sensorineural hearing loss,"My ears feel so full, and it makes it hard to enjoy music anymore.",Medium
conversion disorder,"Please help, the anxiety surrounding my symptoms is as crippling as the symptoms themselves.",High
anemia due to malignancy,Why am I so out of breath just from walking around my house? What should I do?,High
eating disorder,I can’t relax around food anymore; the anxiety is overwhelming.,Medium
open wound of the eye,I can't believe the pain in my eye has gotten worse over the last few days.,Low
dengue fever,Dealing with wrist pain while recovering from dengue is so disheartening.,Low
restless leg syndrome,"Restless leg syndrome has turned my nights into a restless, painful ordeal.",Medium
open wound of the back,"I just want my skin lesion to heal, but it seems to be getting worse instead.",Low
dislocation of the shoulder,I wish the swelling in my arm would go away already!,Low
congenital malformation syndrome,"Lately, multiple health issues keep arising, and it's exhausting trying to manage them all.",High
conversion disorder,I feel like I am losing my mind with these seizures but getting no answers.,High
herniated disk,The loss of sensation in my leg is alarming and makes me anxious.,Medium
conversion disorder,"The constant cough is exhausting, and I feel completely unheard by my doctors.",High
obsessive compulsive disorder (ocd),"Obsessive thoughts are haunting me, and I can't shake the depression that follows.",Medium
decubitus ulcer,"The skin on my foot is breaking down, and I’m scared it could get worse.",Low
obesity,It feels like my excessive appetite has taken over my life—I'm always hungry.,Low
encephalitis,I can’t shake this insomnia; it’s ruining my ability to concentrate.,Low
open wound of the arm,Is it normal for my open wound to hurt this much?,Low
nasal polyp,"Allergies seem to trigger my nasal polyps, and the sneezing just makes everything worse.",Medium
breast cancer,"Hot flashes have been really annoying lately, but they say it can be a normal part of life.",Low
